CustomerID,Age,Gender,City,is_Married,family_size,height,annual_income,job,is_physically_ok,has_taken_car_loan,preferable_fuel_choice,vehicle_choice
CusID_00000,36.0,Male,New York City,Divorced,2.0,160.0,32200.0,Service,Yes,Yes,Hybrid,Sedan
CusID_00001,15.0,Female,New York City,Single,1.0,143.0,9000.0,Service,Yes,Yes,Petrol,Compact Utility Vehicle
CusID_00002,55.0,Male,Paris,Married,2.0,168.0,152400.0,Service,Yes,No,Petrol,Sports Sedan
CusID_00003,23.0,Male,Vancouver,Divorced,3.0,165.0,141140.0,Business,Yes,No,Diesel,Sportscar
CusID_00004,23.0,Not_Specified,Vancouver,Single,1.0,147.0,38100.0,Service,Yes,Yes,Hybrid,Sports Utility Vehicle
CusID_00005,46.0,Female,Vancouver,Divorced,4.0,146.0,84140.0,Business,Yes,,Diesel,Sedan
CusID_00006,35.0,Not_Specified,Barcelona,Married,2.0,139.0,90940.0,Business,Yes,No,Petrol,Crossover
CusID_00007,15.0,Male,Vancouver,Single,1.0,145.0,5600.0,Service,Yes,Yes,Petrol,Hatchback
CusID_00008,20.0,Male,Los Angeles,Single,1.0,157.0,2000.0,Service,Yes,Yes,Diesel,Compact Sedan
CusID_00009,17.0,Not_Specified,Toronto,Single,1.0,149.0,2700.0,Student,Yes,Yes,Petrol,Hatchback
CusID_00010,48.0,Male,Munich,Single,1.0,158.0,160400.0,Service,Yes,No,Petrol,Luxury Coupe
CusID_00011,33.0,Female,Los Angeles,Married,6.0,133.0,42800.0,Service,No,Yes,Petrol,Station Wagon
CusID_00012,25.0,Male,Chennai,Married,3.0,173.0,119860.0,Business,Yes,No,Diesel,Sedan
CusID_00013,15.0,Not_Specified,Florence,Single,1.0,154.0,3000.0,Service,Yes,Yes,Hybrid,Hatchback
CusID_00014,60.0,Female,Budapest,Divorced,2.0,159.0,,Business,Yes,No,Diesel,Convertible
CusID_00015,16.0,Female,Paris,Single,1.0,158.0,8400.0,,Yes,Yes,Petrol,Compact Utility Vehicle
CusID_00016,22.0,Male,Kolkata,Married,2.0,158.0,138550.0,Business,Yes,No,Petrol,Sports Coupe
CusID_00017,27.0,Not_Specified,San Francisco,Single,1.0,143.0,74300.0,Service,Yes,No,Hybrid,Luxury Sedan
CusID_00018,33.0,Male,London,Married,6.0,178.0,32850.0,Business,Yes,Yes,Diesel,Crossover
CusID_00019,56.0,Female,Mumbai,Married,4.0,149.0,83500.0,Service,Yes,No,Hybrid,Sedan
CusID_00020,30.0,Male,San Francisco,Married,5.0,176.0,114130.0,Business,Yes,No,Petrol,Luxury Sedan
CusID_00021,24.0,Female,Toronto,Married,4.0,145.0,,Business,Yes,No,Diesel,Sports Sedan
CusID_00022,21.0,Male,Budapest,Married,6.0,142.0,61420.0,Business,Yes,Yes,Petrol,Compact Utility Vehicle
CusID_00023,18.0,Not_Specified,Barcelona,Single,1.0,142.0,3100.0,Service,Yes,Yes,Petrol,Hatchback
CusID_00024,17.0,Male,Taipei,Single,1.0,143.0,2900.0,Service,Yes,Yes,Petrol,Hatchback
CusID_00025,25.0,Female,Mumbai,Single,1.0,158.0,113000.0,Service,Yes,No,Hybrid,Convertible
CusID_00026,28.0,Male,Los Angeles,Divorced,3.0,165.0,40110.0,Business,Yes,Yes,Diesel,Coupe
CusID_00027,36.0,Male,Kolkata,Married,3.0,158.0,160240.0,Business,Yes,No,Diesel,Sports Sedan
CusID_00028,26.0,Male,Paris,Married,6.0,172.0,97100.0,Service,Yes,No,Hybrid,Crossover
CusID_00029,28.0,,Toronto,Divorced,2.0,152.0,133700.0,Service,Yes,No,Diesel,Sports Utility Vehicle
CusID_00030,35.0,Male,Kuala Lampur,Divorced,4.0,170.0,14200.0,Service,Yes,Yes,Diesel,Compact Sedan
CusID_00031,27.0,Female,Mumbai,Single,1.0,146.0,12800.0,Student,Yes,Yes,Hybrid,Sedan
CusID_00032,25.0,Female,New York City,Divorced,4.0,148.0,38330.0,Business,Yes,Yes,Petrol,Crossover
CusID_00033,49.0,Female,Paris,Divorced,4.0,,151170.0,Business,Yes,No,Diesel,Sports Utility Vehicle
CusID_00034,,Male,Kolkata,Married,4.0,144.0,146800.0,Business,Yes,No,Diesel,Sports Sedan
CusID_00035,27.0,Female,Barcelona,Married,3.0,159.0,109800.0,Service,Yes,No,Diesel,Sports Utility Vehicle
CusID_00036,25.0,Male,Shinjuku,Married,4.0,141.0,5600.0,Service,Yes,Yes,Hybrid,Hatchback
CusID_00037,26.0,Male,Perth,Single,1.0,152.0,146600.0,Service,Yes,No,Diesel,Luxury Coupe
CusID_00038,23.0,Male,Sydney,Divorced,2.0,160.0,125050.0,Business,Yes,No,Petrol,Sportscar
CusID_00039,34.0,Not_Specified,Sydney,Married,4.0,153.0,43020.0,Business,Yes,Yes,Diesel,Crossover
